,Cruise,Project.Name,Year,Region,Status,Location,Location.Site,Location.Site.Depth,Site,Op.Depth,Op.Site,Gear,Depth,Opcode,Genus.Species,Length,Opcode.No.Year
4114,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS3,Chrysophrys.auratus,498.6,ERS3
4115,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS3,Chrysophrys.auratus,550.2,ERS3
4116,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS3,Pseudocaranx.dinjerra,364.9,ERS3
4117,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS3,Scombridae.spp,774.6,ERS3
4118,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS3,Scombridae.spp,842,ERS3
4119,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS3,Scombridae.spp,859.7,ERS3
4120,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS3,Scombridae.spp,918.6,ERS3
4170,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chaetodon.assarius,86.3,EFD1a
4171,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Choerodon.rubescens,310.5,EFD1a
4172,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Coris.auricularis,304.6,EFD1a
4173,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Coris.auricularis,390.7,EFD1a
4174,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Epinephelus.rivulatus,283,EFD1a
4175,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Eubalichthys.caeruleoguttatus,307.3,EFD1a
4176,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Eubalichthys.caeruleoguttatus,308.7,EFD1a
